date,amount,category,description
2023-01-19,275.77,Education,Expense for Education on 19-Jan
2023-01-20,831.94,Food,Expense for Food on 20-Jan
2023-01-20,786.94,Entertainment,Expense for Entertainment on 20-Jan
2023-01-20,580.41,Food,Expense for Food on 20-Jan
2023-01-21,936.21,Food,Expense for Food on 21-Jan
2023-01-21,1352.4,Entertainment,Expense for Entertainment on 21-Jan
2023-01-21,798.4,Food,Expense for Food on 21-Jan
2023-01-22,602.31,Rent,Expense for Rent on 22-Jan
2023-01-22,551.78,Entertainment,Expense for Entertainment on 22-Jan
2023-01-22,256.78,Education,Expense for Education on 22-Jan
2023-01-23,471.69,Utilities,Expense for Utilities on 23-Jan
2023-01-23,716.1,Rent,Expense for Rent on 23-Jan
2023-01-23,309.37,Food,Expense for Food on 23-Jan
2023-01-24,95.04,Rent,Expense for Rent on 24-Jan
2023-01-24,513.22,Rent,Expense for Rent on 24-Jan
2023-01-24,604.54,Healthcare,Expense for Healthcare on 24-Jan
2023-01-25,525.19,Education,Expense for Education on 25-Jan
2023-01-25,535.12,Entertainment,Expense for Entertainment on 25-Jan
2023-01-25,628.1,Utilities,Expense for Utilities on 25-Jan
2023-01-26,284.86,Transport,Expense for Transport on 26-Jan
2023-01-26,430.11,Healthcare,Expense for Healthcare on 26-Jan
2023-01-26,255.81,Healthcare,Expense for Healthcare on 26-Jan
2023-01-27,840.27,Food,Expense for Food on 27-Jan
2023-01-27,622.14,Entertainment,Expense for Entertainment on 27-Jan
2023-01-27,742.77,Entertainment,Expense for Entertainment on 27-Jan
2023-01-28,571.51,Entertainment,Expense for Entertainment on 28-Jan
2023-01-28,596.38,Entertainment,Expense for Entertainment on 28-Jan
2023-01-28,133.37,Food,Expense for Food on 28-Jan
2023-01-29,486.79,Transport,Expense for Transport on 29-Jan
2023-01-29,817.32,Rent,Expense for Rent on 29-Jan
2023-01-29,589.52,Healthcare,Expense for Healthcare on 29-Jan
2023-01-30,442.02,Food,Expense for Food on 30-Jan
2023-01-30,164.91,Transport,Expense for Transport on 30-Jan
2023-01-30,413.3,Education,Expense for Education on 30-Jan
2023-01-31,67.56,Rent,Expense for Rent on 31-Jan
2023-01-31,760.34,Rent,Expense for Rent on 31-Jan
2023-01-31,361.54,Rent,Expense for Rent on 31-Jan
2023-02-01,20345.7,Utilities,Expense for Utilities on 01-Feb
2023-02-01,15121.5,Utilities,Expense for Utilities on 01-Feb
2023-02-01,14810.43,Utilities,Expense for Utilities on 01-Feb
2023-02-02,200.3,Food,Expense for Food on 02-Feb
2023-02-02,711.92,Entertainment,Expense for Entertainment on 02-Feb
2023-02-02,463.34,Healthcare,Expense for Healthcare on 02-Feb
2023-02-03,1095.12,Entertainment,Expense for Entertainment on 03-Feb
2023-02-03,763.7,Entertainment,Expense for Entertainment on 03-Feb
2023-02-03,1323.83,Food,Expense for Food on 03-Feb
2023-02-04,164.56,Food,Expense for Food on 04-Feb
2023-02-04,1039.15,Entertainment,Expense for Entertainment on 04-Feb
2023-02-04,1154.58,Entertainment,Expense for Entertainment on 04-Feb
2023-02-05,765.55,Utilities,Expense for Utilities on 05-Feb
2023-02-05,590.37,Entertainment,Expense for Entertainment on 05-Feb
2023-02-05,507.54,Healthcare,Expense for Healthcare on 05-Feb
2023-02-06,469.42,Healthcare,Expense for Healthcare on 06-Feb
2023-02-06,443.98,Rent,Expense for Rent on 06-Feb
2023-02-06,741.44,Entertainment,Expense for Entertainment on 06-Feb
2023-02-07,602.84,Transport,Expense for Transport on 07-Feb
2023-02-07,973.8,Education,Expense for Education on 07-Feb
2023-02-07,527.05,Education,Expense for Education on 07-Feb
2023-02-08,851.4,Entertainment,Expense for Entertainment on 08-Feb
2023-02-08,542.83,Rent,Expense for Rent on 08-Feb
2023-02-08,225.01,Rent,Expense for Rent on 08-Feb
2023-02-09,364.71,Utilities,Expense for Utilities on 09-Feb
2023-02-09,490.45,Healthcare,Expense for Healthcare on 09-Feb
2023-02-09,598.3,Education,Expense for Education on 09-Feb
2023-02-10,1252.11,Entertainment,Expense for Entertainment on 10-Feb
2023-02-10,461.68,Entertainment,Expense for Entertainment on 10-Feb
2023-02-10,1111.74,Food,Expense for Food on 10-Feb
2023-02-11,1478.55,Entertainment,Expense for Entertainment on 11-Feb
2023-02-11,815.65,Entertainment,Expense for Entertainment on 11-Feb
2023-02-11,218.7,Entertainment,Expense for Entertainment on 11-Feb
2023-02-12,1032.45,Transport,Expense for Transport on 12-Feb
2023-02-12,553.36,Utilities,Expense for Utilities on 12-Feb
2023-02-12,622.11,Transport,Expense for Transport on 12-Feb
2023-02-13,189.6,Transport,Expense for Transport on 13-Feb
2023-02-13,511.11,Utilities,Expense for Utilities on 13-Feb
2023-02-13,1159.69,Healthcare,Expense for Healthcare on 13-Feb
2023-02-14,559.13,Transport,Expense for Transport on 14-Feb
2023-02-14,635.91,Education,Expense for Education on 14-Feb
2023-02-14,194.23,Education,Expense for Education on 14-Feb
2023-02-15,608.58,Education,Expense for Education on 15-Feb
2023-02-15,363.57,Education,Expense for Education on 15-Feb
2023-02-15,817.47,Transport,Expense for Transport on 15-Feb
2023-02-16,288.55,Food,Expense for Food on 16-Feb
2023-02-16,404.66,Entertainment,Expense for Entertainment on 16-Feb
2023-02-16,349.26,Rent,Expense for Rent on 16-Feb
2023-02-17,1210.0,Food,Expense for Food on 17-Feb
2023-02-17,1178.34,Food,Expense for Food on 17-Feb
2023-02-17,751.2,Entertainment,Expense for Entertainment on 17-Feb
2023-02-18,699.86,Entertainment,Expense for Entertainment on 18-Feb
2023-02-18,747.49,Entertainment,Expense for Entertainment on 18-Feb
2023-02-18,710.95,Food,Expense for Food on 18-Feb
2023-02-19,268.28,Healthcare,Expense for Healthcare on 19-Feb
2023-02-19,798.51,Education,Expense for Education on 19-Feb
2023-02-19,652.04,Education,Expense for Education on 19-Feb
2023-02-20,707.54,Healthcare,Expense for Healthcare on 20-Feb
2023-02-20,278.41,Transport,Expense for Transport on 20-Feb
2023-02-20,874.18,Education,Expense for Education on 20-Feb
2023-02-21,283.82,Healthcare,Expense for Healthcare on 21-Feb
2023-02-21,274.36,Food,Expense for Food on 21-Feb
2023-02-21,800.96,Utilities,Expense for Utilities on 21-Feb
2023-02-22,416.27,Entertainment,Expense for Entertainment on 22-Feb
2023-02-22,689.85,Entertainment,Expense for Entertainment on 22-Feb
2023-02-22,687.13,Food,Expense for Food on 22-Feb
2023-02-23,259.63,Rent,Expense for Rent on 23-Feb
2023-02-23,8.72,Entertainment,Expense for Entertainment on 23-Feb
2023-02-23,512.86,Entertainment,Expense for Entertainment on 23-Feb
2023-02-24,731.11,Entertainment,Expense for Entertainment on 24-Feb
2023-02-24,678.22,Food,Expense for Food on 24-Feb
2023-02-24,1310.06,Entertainment,Expense for Entertainment on 24-Feb
2023-02-25,780.66,Food,Expense for Food on 25-Feb
2023-02-25,1026.57,Entertainment,Expense for Entertainment on 25-Feb
2023-02-25,704.35,Food,Expense for Food on 25-Feb
2023-02-26,26.82,Entertainment,Expense for Entertainment on 26-Feb
2023-02-26,637.48,Rent,Expense for Rent on 26-Feb
2023-02-26,463.43,Food,Expense for Food on 26-Feb
2023-02-27,819.56,Food,Expense for Food on 27-Feb
2023-02-27,614.6,Food,Expense for Food on 27-Feb
2023-02-27,405.66,Healthcare,Expense for Healthcare on 27-Feb
2023-02-28,710.33,Food,Expense for Food on 28-Feb
2023-02-28,487.1,Utilities,Expense for Utilities on 28-Feb
2023-02-28,745.11,Rent,Expense for Rent on 28-Feb
2023-03-01,14727.45,Utilities,Expense for Utilities on 01-Mar
2023-03-01,13809.49,Rent,Expense for Rent on 01-Mar
2023-03-01,14010.6,Rent,Expense for Rent on 01-Mar
2023-03-02,276.54,Utilities,Expense for Utilities on 02-Mar
2023-03-02,505.03,Healthcare,Expense for Healthcare on 02-Mar
2023-03-02,1004.14,Transport,Expense for Transport on 02-Mar
2023-03-03,437.57,Entertainment,Expense for Entertainment on 03-Mar
2023-03-03,653.49,Entertainment,Expense for Entertainment on 03-Mar
2023-03-03,892.31,Food,Expense for Food on 03-Mar
2023-03-04,863.97,Food,Expense for Food on 04-Mar
2023-03-04,569.23,Entertainment,Expense for Entertainment on 04-Mar
2023-03-04,1003.15,Entertainment,Expense for Entertainment on 04-Mar
2023-03-05,1216.91,Healthcare,Expense for Healthcare on 05-Mar
2023-03-05,457.89,Food,Expense for Food on 05-Mar
2023-03-05,510.43,Entertainment,Expense for Entertainment on 05-Mar
2023-03-06,262.65,Entertainment,Expense for Entertainment on 06-Mar
2023-03-06,744.4,Utilities,Expense for Utilities on 06-Mar
2023-03-06,357.2,Rent,Expense for Rent on 06-Mar
2023-03-07,865.5,Healthcare,Expense for Healthcare on 07-Mar
2023-03-07,74.68,Education,Expense for Education on 07-Mar
2023-03-07,887.41,Food,Expense for Food on 07-Mar
2023-03-08,467.68,Education,Expense for Education on 08-Mar
2023-03-08,1203.94,Transport,Expense for Transport on 08-Mar
2023-03-08,774.45,Healthcare,Expense for Healthcare on 08-Mar
2023-03-09,629.14,Entertainment,Expense for Entertainment on 09-Mar
2023-03-09,458.37,Food,Expense for Food on 09-Mar
2023-03-09,593.28,Healthcare,Expense for Healthcare on 09-Mar
2023-03-10,761.95,Entertainment,Expense for Entertainment on 10-Mar
2023-03-10,593.74,Food,Expense for Food on 10-Mar
2023-03-10,939.97,Food,Expense for Food on 10-Mar
2023-03-11,725.1,Entertainment,Expense for Entertainment on 11-Mar
2023-03-11,283.24,Food,Expense for Food on 11-Mar
2023-03-11,815.46,Food,Expense for Food on 11-Mar
2023-03-12,513.64,Education,Expense for Education on 12-Mar
2023-03-12,259.8,Transport,Expense for Transport on 12-Mar
2023-03-12,684.37,Healthcare,Expense for Healthcare on 12-Mar
2023-03-13,468.02,Transport,Expense for Transport on 13-Mar
2023-03-13,456.35,Transport,Expense for Transport on 13-Mar
2023-03-13,897.39,Food,Expense for Food on 13-Mar
2023-03-14,758.57,Utilities,Expense for Utilities on 14-Mar
2023-03-14,289.81,Entertainment,Expense for Entertainment on 14-Mar
2023-03-14,464.6,Education,Expense for Education on 14-Mar
2023-03-15,430.42,Food,Expense for Food on 15-Mar
2023-03-15,154.7,Utilities,Expense for Utilities on 15-Mar
2023-03-15,322.63,Utilities,Expense for Utilities on 15-Mar
2023-03-16,618.26,Food,Expense for Food on 16-Mar
2023-03-16,198.93,Utilities,Expense for Utilities on 16-Mar
2023-03-16,249.57,Food,Expense for Food on 16-Mar
2023-03-17,1145.53,Food,Expense for Food on 17-Mar
2023-03-17,577.5,Entertainment,Expense for Entertainment on 17-Mar
2023-03-17,636.41,Entertainment,Expense for Entertainment on 17-Mar
2023-03-18,959.27,Entertainment,Expense for Entertainment on 18-Mar
2023-03-18,1165.55,Food,Expense for Food on 18-Mar
2023-03-18,795.22,Entertainment,Expense for Entertainment on 18-Mar
2023-03-19,35.48,Entertainment,Expense for Entertainment on 19-Mar
2023-03-19,370.06,Food,Expense for Food on 19-Mar
2023-03-19,762.04,Utilities,Expense for Utilities on 19-Mar
2023-03-20,572.47,Food,Expense for Food on 20-Mar
2023-03-20,487.8,Healthcare,Expense for Healthcare on 20-Mar
2023-03-20,457.32,Education,Expense for Education on 20-Mar
2023-03-21,602.74,Education,Expense for Education on 21-Mar
2023-03-21,249.48,Rent,Expense for Rent on 21-Mar
2023-03-21,280.45,Transport,Expense for Transport on 21-Mar
2023-03-22,431.75,Rent,Expense for Rent on 22-Mar
2023-03-22,160.63,Healthcare,Expense for Healthcare on 22-Mar
2023-03-22,488.78,Education,Expense for Education on 22-Mar
2023-03-23,688.84,Transport,Expense for Transport on 23-Mar
2023-03-23,508.01,Healthcare,Expense for Healthcare on 23-Mar
2023-03-23,341.21,Utilities,Expense for Utilities on 23-Mar
2023-03-24,991.68,Entertainment,Expense for Entertainment on 24-Mar
2023-03-24,715.55,Entertainment,Expense for Entertainment on 24-Mar
2023-03-24,621.76,Food,Expense for Food on 24-Mar
2023-03-25,930.69,Entertainment,Expense for Entertainment on 25-Mar
2023-03-25,429.55,Entertainment,Expense for Entertainment on 25-Mar
2023-03-25,939.65,Entertainment,Expense for Entertainment on 25-Mar
2023-03-26,153.06,Utilities,Expense for Utilities on 26-Mar
2023-03-26,697.64,Utilities,Expense for Utilities on 26-Mar
2023-03-26,893.58,Rent,Expense for Rent on 26-Mar
2023-03-27,842.16,Entertainment,Expense for Entertainment on 27-Mar
2023-03-27,434.72,Utilities,Expense for Utilities on 27-Mar
2023-03-27,779.25,Education,Expense for Education on 27-Mar
2023-03-28,508.22,Food,Expense for Food on 28-Mar
2023-03-28,351.45,Healthcare,Expense for Healthcare on 28-Mar
2023-03-28,584.77,Rent,Expense for Rent on 28-Mar
2023-03-29,945.17,Transport,Expense for Transport on 29-Mar
2023-03-29,468.94,Transport,Expense for Transport on 29-Mar
2023-03-29,370.14,Entertainment,Expense for Entertainment on 29-Mar
2023-03-30,722.66,Food,Expense for Food on 30-Mar
2023-03-30,577.78,Healthcare,Expense for Healthcare on 30-Mar
2023-03-30,757.52,Transport,Expense for Transport on 30-Mar
2023-03-31,537.32,Food,Expense for Food on 31-Mar
2023-03-31,591.01,Entertainment,Expense for Entertainment on 31-Mar
2023-03-31,898.66,Entertainment,Expense for Entertainment on 31-Mar
2023-04-01,14741.8,Rent,Expense for Rent on 01-Apr
2023-04-01,14190.95,Utilities,Expense for Utilities on 01-Apr
2023-04-01,17880.54,Rent,Expense for Rent on 01-Apr
2023-04-02,469.26,Entertainment,Expense for Entertainment on 02-Apr
2023-04-02,305.27,Rent,Expense for Rent on 02-Apr
2023-04-02,69.92,Education,Expense for Education on 02-Apr
2023-04-03,770.29,Entertainment,Expense for Entertainment on 03-Apr
2023-04-03,532.58,Entertainment,Expense for Entertainment on 03-Apr
2023-04-03,803.95,Rent,Expense for Rent on 03-Apr
2023-04-04,646.08,Utilities,Expense for Utilities on 04-Apr
2023-04-04,365.68,Transport,Expense for Transport on 04-Apr
2023-04-04,784.43,Utilities,Expense for Utilities on 04-Apr
2023-04-05,397.09,Food,Expense for Food on 05-Apr
2023-04-05,528.21,Healthcare,Expense for Healthcare on 05-Apr
2023-04-05,348.14,Education,Expense for Education on 05-Apr
2023-04-06,211.65,Food,Expense for Food on 06-Apr
2023-04-06,669.85,Food,Expense for Food on 06-Apr
2023-04-06,352.19,Healthcare,Expense for Healthcare on 06-Apr
2023-04-07,851.0,Food,Expense for Food on 07-Apr
2023-04-07,928.58,Food,Expense for Food on 07-Apr
2023-04-07,753.77,Food,Expense for Food on 07-Apr
2023-04-08,1434.71,Food,Expense for Food on 08-Apr
2023-04-08,952.39,Entertainment,Expense for Entertainment on 08-Apr
2023-04-08,733.12,Food,Expense for Food on 08-Apr
2023-04-09,649.68,Utilities,Expense for Utilities on 09-Apr
2023-04-09,580.0,Healthcare,Expense for Healthcare on 09-Apr
2023-04-09,653.16,Education,Expense for Education on 09-Apr
2023-04-10,498.28,Healthcare,Expense for Healthcare on 10-Apr
2023-04-10,592.19,Transport,Expense for Transport on 10-Apr
2023-04-10,596.59,Education,Expense for Education on 10-Apr
2023-04-11,707.97,Transport,Expense for Transport on 11-Apr
2023-04-11,256.45,Rent,Expense for Rent on 11-Apr
2023-04-11,679.96,Education,Expense for Education on 11-Apr
2023-04-12,822.27,Transport,Expense for Transport on 12-Apr
2023-04-12,581.01,Food,Expense for Food on 12-Apr
2023-04-12,553.23,Food,Expense for Food on 12-Apr
2023-04-13,1071.85,Rent,Expense for Rent on 13-Apr
2023-04-13,1042.12,Education,Expense for Education on 13-Apr
2023-04-13,233.1,Education,Expense for Education on 13-Apr
2023-04-14,562.1,Food,Expense for Food on 14-Apr
2023-04-14,761.53,Entertainment,Expense for Entertainment on 14-Apr
2023-04-14,917.7,Entertainment,Expense for Entertainment on 14-Apr
2023-04-15,815.17,Entertainment,Expense for Entertainment on 15-Apr
2023-04-15,1293.88,Entertainment,Expense for Entertainment on 15-Apr
2023-04-15,900.82,Food,Expense for Food on 15-Apr
2023-04-16,229.95,Rent,Expense for Rent on 16-Apr
2023-04-16,567.42,Healthcare,Expense for Healthcare on 16-Apr
2023-04-16,596.55,Entertainment,Expense for Entertainment on 16-Apr
2023-04-17,579.58,Healthcare,Expense for Healthcare on 17-Apr
2023-04-17,288.12,Entertainment,Expense for Entertainment on 17-Apr
2023-04-17,734.43,Rent,Expense for Rent on 17-Apr
2023-04-18,456.84,Education,Expense for Education on 18-Apr
2023-04-18,713.1,Education,Expense for Education on 18-Apr
2023-04-18,542.21,Food,Expense for Food on 18-Apr
2023-04-19,70.86,Utilities,Expense for Utilities on 19-Apr
2023-04-19,369.8,Rent,Expense for Rent on 19-Apr
2023-04-19,807.15,Rent,Expense for Rent on 19-Apr
2023-04-20,215.93,Healthcare,Expense for Healthcare on 20-Apr
2023-04-20,907.88,Food,Expense for Food on 20-Apr
2023-04-20,566.55,Entertainment,Expense for Entertainment on 20-Apr
2023-04-21,526.77,Food,Expense for Food on 21-Apr
2023-04-21,1061.12,Entertainment,Expense for Entertainment on 21-Apr
2023-04-21,338.91,Entertainment,Expense for Entertainment on 21-Apr
2023-04-22,861.7,Food,Expense for Food on 22-Apr
2023-04-22,538.04,Entertainment,Expense for Entertainment on 22-Apr
2023-04-22,1086.28,Food,Expense for Food on 22-Apr
2023-04-23,304.52,Transport,Expense for Transport on 23-Apr
2023-04-23,996.04,Healthcare,Expense for Healthcare on 23-Apr
2023-04-23,783.68,Utilities,Expense for Utilities on 23-Apr
2023-04-24,794.88,Utilities,Expense for Utilities on 24-Apr
2023-04-24,498.39,Entertainment,Expense for Entertainment on 24-Apr
2023-04-24,715.75,Utilities,Expense for Utilities on 24-Apr
2023-04-25,446.72,Transport,Expense for Transport on 25-Apr
2023-04-25,170.09,Healthcare,Expense for Healthcare on 25-Apr
2023-04-25,589.68,Food,Expense for Food on 25-Apr
2023-04-26,484.52,Rent,Expense for Rent on 26-Apr
2023-04-26,560.94,Entertainment,Expense for Entertainment on 26-Apr
2023-04-26,513.27,Education,Expense for Education on 26-Apr
2023-04-27,597.07,Healthcare,Expense for Healthcare on 27-Apr
2023-04-27,401.94,Rent,Expense for Rent on 27-Apr
2023-04-27,814.53,Rent,Expense for Rent on 27-Apr
2023-04-28,821.02,Food,Expense for Food on 28-Apr
2023-04-28,854.98,Food,Expense for Food on 28-Apr
2023-04-28,715.53,Entertainment,Expense for Entertainment on 28-Apr
2023-04-29,916.39,Food,Expense for Food on 29-Apr
2023-04-29,264.93,Food,Expense for Food on 29-Apr
2023-04-29,588.26,Entertainment,Expense for Entertainment on 29-Apr
2023-04-30,524.61,Rent,Expense for Rent on 30-Apr
2023-04-30,415.09,Rent,Expense for Rent on 30-Apr
2023-04-30,261.0,Utilities,Expense for Utilities on 30-Apr
2023-05-01,11878.14,Utilities,Expense for Utilities on 01-May
2023-05-01,13440.76,Utilities,Expense for Utilities on 01-May
2023-05-01,14575.16,Utilities,Expense for Utilities on 01-May
2023-05-02,648.95,Entertainment,Expense for Entertainment on 02-May
2023-05-02,306.97,Rent,Expense for Rent on 02-May
2023-05-02,109.23,Healthcare,Expense for Healthcare on 02-May
2023-05-03,484.87,Healthcare,Expense for Healthcare on 03-May
2023-05-03,613.89,Food,Expense for Food on 03-May
2023-05-03,518.07,Transport,Expense for Transport on 03-May
2023-05-04,847.55,Rent,Expense for Rent on 04-May
2023-05-04,376.76,Education,Expense for Education on 04-May
2023-05-04,644.35,Utilities,Expense for Utilities on 04-May
2023-05-05,860.28,Entertainment,Expense for Entertainment on 05-May
2023-05-05,1078.0,Food,Expense for Food on 05-May
2023-05-05,737.05,Food,Expense for Food on 05-May
2023-05-06,555.62,Entertainment,Expense for Entertainment on 06-May
2023-05-06,299.85,Food,Expense for Food on 06-May
2023-05-06,390.95,Food,Expense for Food on 06-May
2023-05-07,542.22,Healthcare,Expense for Healthcare on 07-May
2023-05-07,449.31,Food,Expense for Food on 07-May
2023-05-07,858.9,Healthcare,Expense for Healthcare on 07-May
2023-05-08,683.74,Entertainment,Expense for Entertainment on 08-May
2023-05-08,40.06,Rent,Expense for Rent on 08-May
2023-05-08,625.32,Healthcare,Expense for Healthcare on 08-May
2023-05-09,489.07,Rent,Expense for Rent on 09-May
2023-05-09,773.16,Healthcare,Expense for Healthcare on 09-May
2023-05-09,503.51,Rent,Expense for Rent on 09-May
2023-05-10,278.36,Education,Expense for Education on 10-May
2023-05-10,201.15,Healthcare,Expense for Healthcare on 10-May
2023-05-10,391.01,Utilities,Expense for Utilities on 10-May
2023-05-11,1003.55,Food,Expense for Food on 11-May
2023-05-11,573.69,Rent,Expense for Rent on 11-May
2023-05-11,452.84,Entertainment,Expense for Entertainment on 11-May
2023-05-12,1448.74,Food,Expense for Food on 12-May
2023-05-12,1020.23,Entertainment,Expense for Entertainment on 12-May
2023-05-12,1139.78,Food,Expense for Food on 12-May
2023-05-13,565.92,Entertainment,Expense for Entertainment on 13-May
2023-05-13,644.47,Entertainment,Expense for Entertainment on 13-May
2023-05-13,952.52,Entertainment,Expense for Entertainment on 13-May
2023-05-14,310.53,Rent,Expense for Rent on 14-May
2023-05-14,225.05,Healthcare,Expense for Healthcare on 14-May
2023-05-14,475.73,Transport,Expense for Transport on 14-May
2023-05-15,674.01,Utilities,Expense for Utilities on 15-May
2023-05-15,705.37,Food,Expense for Food on 15-May
2023-05-15,653.15,Entertainment,Expense for Entertainment on 15-May
2023-05-16,1133.69,Utilities,Expense for Utilities on 16-May
2023-05-16,596.64,Utilities,Expense for Utilities on 16-May
2023-05-16,566.06,Utilities,Expense for Utilities on 16-May
2023-05-17,144.27,Food,Expense for Food on 17-May
2023-05-17,800.06,Transport,Expense for Transport on 17-May
2023-05-17,168.13,Food,Expense for Food on 17-May
2023-05-18,1033.86,Food,Expense for Food on 18-May
2023-05-18,482.88,Entertainment,Expense for Entertainment on 18-May
2023-05-18,495.52,Rent,Expense for Rent on 18-May
2023-05-19,696.38,Entertainment,Expense for Entertainment on 19-May
2023-05-19,811.97,Food,Expense for Food on 19-May
2023-05-19,686.82,Food,Expense for Food on 19-May
2023-05-20,676.34,Food,Expense for Food on 20-May
2023-05-20,791.13,Food,Expense for Food on 20-May
2023-05-20,231.37,Entertainment,Expense for Entertainment on 20-May
2023-05-21,341.12,Rent,Expense for Rent on 21-May
2023-05-21,489.26,Entertainment,Expense for Entertainment on 21-May
2023-05-21,525.35,Education,Expense for Education on 21-May
2023-05-22,475.71,Rent,Expense for Rent on 22-May
2023-05-22,438.41,Rent,Expense for Rent on 22-May
2023-05-22,360.85,Utilities,Expense for Utilities on 22-May
2023-05-23,787.83,Transport,Expense for Transport on 23-May
2023-05-23,902.99,Rent,Expense for Rent on 23-May
2023-05-23,378.29,Transport,Expense for Transport on 23-May
2023-05-24,706.39,Transport,Expense for Transport on 24-May
2023-05-24,615.55,Food,Expense for Food on 24-May
2023-05-24,458.82,Healthcare,Expense for Healthcare on 24-May
2023-05-25,241.95,Healthcare,Expense for Healthcare on 25-May
2023-05-25,614.68,Utilities,Expense for Utilities on 25-May
2023-05-25,556.38,Transport,Expense for Transport on 25-May
2023-05-26,693.11,Entertainment,Expense for Entertainment on 26-May
2023-05-26,828.97,Entertainment,Expense for Entertainment on 26-May
2023-05-26,704.3,Food,Expense for Food on 26-May
2023-05-27,899.31,Food,Expense for Food on 27-May
2023-05-27,505.93,Food,Expense for Food on 27-May
2023-05-27,682.58,Entertainment,Expense for Entertainment on 27-May
2023-05-28,697.12,Food,Expense for Food on 28-May
2023-05-28,662.92,Transport,Expense for Transport on 28-May
2023-05-28,341.43,Healthcare,Expense for Healthcare on 28-May
2023-05-29,613.94,Education,Expense for Education on 29-May
2023-05-29,457.92,Transport,Expense for Transport on 29-May
2023-05-29,655.56,Transport,Expense for Transport on 29-May
2023-05-30,931.65,Food,Expense for Food on 30-May
2023-05-30,599.47,Transport,Expense for Transport on 30-May
2023-05-30,760.5,Education,Expense for Education on 30-May
2023-05-31,762.77,Entertainment,Expense for Entertainment on 31-May
2023-05-31,648.42,Rent,Expense for Rent on 31-May
2023-05-31,510.84,Food,Expense for Food on 31-May
2023-06-01,15921.26,Rent,Expense for Rent on 01-Jun
2023-06-01,12768.79,Utilities,Expense for Utilities on 01-Jun
